"Andorra","Andorra","376","Europe","Andorra la Vella","EUR","ca"
"United Arab Emirates","دولة الإمارات العربية المتحدة","971","Asia","Abu Dhabi","AED","ar"
"Afghanistan","افغانستان","93","Asia","Kabul","AFN","ps,uz,tk"
"Antigua and Barbuda","Antigua and Barbuda","1268","North America","Saint John's","XCD","en"
"Anguilla","Anguilla","1264","North America","The Valley","XCD","en"
"Albania","Shqipëria","355","Europe","Tirana","ALL","sq"
"Armenia","Հայաստան","374","Asia","Yerevan","AMD","hy,ru"
"Angola","Angola","244","Africa","Luanda","AOA","pt"
"Antarctica","Antarctica","","Antarctica","","",""
"Argentina","Argentina","54","South America","Buenos Aires","ARS","es,gn"
"American Samoa","American Samoa","1684","Oceania","Pago Pago","USD","en,sm"
"Austria","Österreich","43","Europe","Vienna","EUR","de"
"Australia","Australia","61","Oceania","Canberra","AUD","en"
"Aruba","Aruba","297","North America","Oranjestad","AWG","nl,pa"
"Åland","Åland","358","Europe","Mariehamn","EUR","sv"
"Azerbaijan","Azərbaycan","994","Asia","Baku","AZN","az,hy"
"Bosnia and Herzegovina","Bosna i Hercegovina","387","Europe","Sarajevo","BAM","bs,hr,sr"
"Barbados","Barbados","1246","North America","Bridgetown","BBD","en"
"Bangladesh","Bangladesh","880","Asia","Dhaka","BDT","bn"
"Belgium","België","32","Europe","Brussels","EUR","nl,fr,de"
"Burkina Faso","Burkina Faso","226","Africa","Ouagadougou","XOF","fr,ff"
"Bulgaria","България","359","Europe","Sofia","BGN","bg"
"Bahrain","‏البحرين","973","Asia","Manama","BHD","ar"
"Burundi","Burundi","257","Africa","Bujumbura","BIF","fr,rn"
"Benin","Bénin","229","Africa","Porto-Novo","XOF","fr"
"Saint Barthélemy","Saint-Barthélemy","590","North America","Gustavia","EUR","fr"
"Bermuda","Bermuda","1441","North America","Hamilton","BMD","en"
"Brunei","Negara Brunei Darussalam","673","Asia","Bandar Seri Begawan","BND","ms"
"Bolivia","Bolivia","591","South America","Sucre","BOB,BOV","es,ay,qu"
"Bonaire","Bonaire","5997","North America","Kralendijk","USD","nl"
"Brazil","Brasil","55","South America","Brasília","BRL","pt"
"Bahamas","Bahamas","1242","North America","Nassau","BSD","en"
"Bhutan","ʼbrug-yul","975","Asia","Thimphu","BTN,INR","dz"
"Bouvet Island","Bouvetøya","","Antarctica","","NOK",""
"Botswana","Botswana","267","Africa","Gaborone","BWP","en,tn"
"Belarus","Белару́сь","375","Europe","Minsk","BYR","be,ru"
"Belize","Belize","501","North America","Belmopan","BZD","en,es"
"Canada","Canada","1","North America","Ottawa","CAD","en,fr"
"Cocos [Keeling] Islands","Cocos (Keeling) Islands","61","Asia","West Island","AUD","en"
"Democratic Republic of the Congo","République démocratique du Congo","243","Africa","Kinshasa","CDF","fr,ln,kg,sw,lu"
"Central African Republic","Ködörösêse tî Bêafrîka","236","Africa","Bangui","XAF","fr,sg"
"Republic of the Congo","République du Congo","242","Africa","Brazzaville","XAF","fr,ln"
"Switzerland","Schweiz","41","Europe","Bern","CHE,CHF,CHW","de,fr,it"
"Ivory Coast","Côte d'Ivoire","225","Africa","Yamoussoukro","XOF","fr"
"Cook Islands","Cook Islands","682","Oceania","Avarua","NZD","en"
"Chile","Chile","56","South America","Santiago","CLF,CLP","es"
"Cameroon","Cameroon","237","Africa","Yaoundé","XAF","en,fr"
"China","中国","86","Asia","Beijing","CNY","zh"
"Colombia","Colombia","57","South America","Bogotá","COP","es"
"Costa Rica","Costa Rica","506","North America","San José","CRC","es"
"Cuba","Cuba","53","North America","Havana","CUC,CUP","es"
"Cape Verde","Cabo Verde","238","Africa","Praia","CVE","pt"
"Curacao","Curaçao","5999","North America","Willemstad","ANG","nl,pa,en"
"Christmas Island","Christmas Island","61","Asia","Flying Fish Cove","AUD","en"
"Cyprus","Κύπρος","357","Europe","Nicosia","EUR","el,tr,hy"
"Czech Republic","Česká republika","420","Europe","Prague","CZK","cs,sk"
"Germany","Deutschland","49","Europe","Berlin","EUR","de"
"Djibouti","Djibouti","253","Africa","Djibouti","DJF","fr,ar"
"Denmark","Danmark","45","Europe","Copenhagen","DKK","da"
"Dominica","Dominica","1767","North America","Roseau","XCD","en"
"Dominican Republic","República Dominicana","1809,1829,1849","North America","Santo Domingo","DOP","es"
"Algeria","الجزائر","213","Africa","Algiers","DZD","ar"
"Ecuador","Ecuador","593","South America","Quito","USD","es"
"Estonia","Eesti","372","Europe","Tallinn","EUR","et"
"Egypt","مصر‎","20","Africa","Cairo","EGP","ar"
"Western Sahara","الصحراء الغربية","212","Africa","El Aaiún","MAD,DZD,MRO","es"
"Eritrea","ኤርትራ","291","Africa","Asmara","ERN","ti,ar,en"
"Spain","España","34","Europe","Madrid","EUR","es,eu,ca,gl,oc"
"Ethiopia","ኢትዮጵያ","251","Africa","Addis Ababa","ETB","am"
"Finland","Suomi","358","Europe","Helsinki","EUR","fi,sv"
"Fiji","Fiji","679","Oceania","Suva","FJD","en,fj,hi,ur"
"Falkland Islands","Falkland Islands","500","South America","Stanley","FKP","en"
"Micronesia","Micronesia","691","Oceania","Palikir","USD","en"
"Faroe Islands","Føroyar","298","Europe","Tórshavn","DKK","fo"
